municipio;valor
2402709;0
2402709;16
2402709;0
2402709;0
2402709;0
2402709;0
2402808;0
2402808;3
2402808;0
2402808;3
2402808;0
2402808;0
2402907;0
2402907;0
2402907;0
2402907;0
2402907;0
2402907;0
2403004;0
2403004;0
2403004;0
2403004;0
2403004;0
2403004;0
2403103;12
2403103;146
2403103;0
2403103;85
2403103;0
2403103;0
2403202;0
2403202;0
2403202;0
2403202;0
2403202;0
2403202;0
2403251;22
2403251;1511
2403251;0
2403251;655
2403251;195
2403251;0
2403301;0
2403301;0
2403301;0
2403301;0
2403301;0
2403301;0
2403400;0
2403400;3
2403400;0
2403400;7
2403400;0
2403400;0
2403509;0
2403509;6
2403509;0
2403509;6
2403509;6
2403509;0
2403608;0
2403608;68
2403608;0
2403608;14
2403608;0
2403608;0
2403707;0
2403707;5
2403707;0
2403707;0
2403707;0
2403707;0
2403756;0
2403756;0
2403756;0
2403756;0
2403756;0
2403756;0
2403806;0
2403806;17
2403806;0
2403806;0
2403806;0
2403806;0
2403905;0
2403905;7
2403905;0
2403905;0
2403905;0
2403905;0
2404002;0
2404002;0
2404002;0
2404002;0
2404002;0
2404002;0
2404101;0
2404101;6
2404101;0
2404101;6
2404101;0
2404101;0
2404200;0
2404200;53
2404200;0
2404200;11
2404200;0
2404200;0
2404309;0
2404309;0
2404309;0
2404309;0
2404309;0
2404309;0
2404408;0
2404408;6
2404408;0
2404408;27
2404408;0
2404408;0
2404507;0
2404507;10
2404507;0
2404507;16
2404507;0
2404507;0
2404606;0
2404606;0
2404606;0
2404606;0
2404606;0
2404606;0
2404705;0
2404705;0
2404705;0
2404705;0
2404705;0
2404705;0
2404804;0
2404804;0
2404804;0
2404804;0
2404804;0
2404804;0
2404853;0
2404853;0
2404853;0
2404853;0
2404853;0
2404853;0
2404903;0
2404903;0
2404903;0
2404903;0
2404903;0
2404903;0
2405009;0
2405009;0
2405009;0
2405009;0
2405009;0
2405009;0
2405108;0
2405108;3
2405108;0
2405108;6
2405108;0
2405108;0
2405207;0
2405207;0
2405207;0
2405207;0
2405207;0
2405207;0
2405306;0
2405306;0
2405306;0
2405306;0
2405306;0
2405306;0
2405405;0
2405405;0
2405405;0
2405405;0
2405405;0
2405405;0
2405504;0
2405504;0
2405504;0
2405504;0
2405504;0
2405504;0
2405603;0
2405603;0
2405603;0
2405603;0
2405603;0
2405603;0
2405702;0
2405702;67
2405702;0
2405702;37
2405702;0
2405702;0
2405801;0
2405801;38
2405801;0
2405801;29
2405801;0
2405801;0
2405900;0
2405900;0
2405900;0
2405900;0
2405900;0
2405900;0
2406007;0
2406007;7
2406007;0
2406007;0
2406007;0
2406007;0
2406106;0
2406106;6
2406106;0
2406106;0
2406106;0
2406106;0
2406155;0
2406155;0
2406155;0
2406155;0
2406155;0
2406155;0
2406205;0
2406205;3
2406205;0
2406205;3
2406205;0
2406205;0
2406304;0
2406304;0
2406304;0
2406304;0
2406304;0
2406304;0
2406403;0
2406403;0
2406403;0
2406403;0
2406403;0
2406403;0
2406502;0
2406502;0
2406502;0
2406502;0
2406502;0
2406502;0
2406601;0
2406601;0
2406601;0
2406601;0
2406601;0
2406601;0
2406700;0
2406700;0
2406700;0
2406700;0
2406700;0
2406700;0
2406809;0
2406809;0
2406809;0
2406809;0
2406809;0
2406809;0
2406908;0
2406908;11
2406908;0
2406908;6
2406908;0
2406908;0
2407005;0
2407005;3
2407005;0
2407005;8
2407005;0
2407005;0
2407104;0
2407104;52
2407104;0
2407104;22
2407104;9
2407104;0
2407203;0
2407203;0
2407203;0
2407203;10
2407203;0
2407203;0
2407252;0
2407252;0
2407252;0
2407252;1
2407252;0
2407252;0
2407302;0
2407302;0
2407302;0
2407302;0
2407302;0
2407302;0
2407401;0
2407401;5
2407401;0
2407401;0
2407401;0
2407401;0
2407500;0
2407500;9
2407500;0
2407500;0
2407500;0
2407500;0
2407609;0
2407609;5
2407609;0
2407609;2
2407609;0
2407609;0
2407708;0
2407708;0
2407708;0
2407708;0
2407708;0
2407708;0
2407807;0
2407807;0
2407807;0
2407807;42
2407807;0
2407807;0
2407906;0
2407906;0
2407906;0
2407906;0
2407906;0
2407906;0
2408003;0
2408003;1286
2408003;0
2408003;590
2408003;0
2408003;0
2408102;228
2408102;12820
2408102;12
2408102;4921
2408102;219
2408102;0
2408201;0
2408201;26
2408201;0
2408201;0
2408201;9
2408201;0
2408300;0
2408300;0
