indicador;municipio;ano;resultado
19.1.2.3.1.2;2400802;2010;47.5
17.1.2.3.1;2400802;2010;2465
17.1.2.3.2;2400802;2010;14
16.1.2.2.1.2.1;2400901;0;0
16.1.2.2.1.2.2;2400901;0;0
16.1.2.2.2.2.1;2400901;0;0
16.1.2.2.2.2.2;2400901;0;0
16.1.2.2.3.2.1;2400901;0;0
16.1.2.2.3.2.2;2400901;0;0
2.4.3.1.3.2.4;2400901;2010;179
2.4.3.1.3.2.5;2400901;2010;153
3.2.1.1;2400901;2010;98
20.4.1.3;2400901;2010;9
1;2400901;2013;12.66
3.4.1;2400901;2015;None
3.4.2;2400901;2015;None
3.4.3;2400901;2015;None
3.2.1;2400901;2015;20
3.2.2;2400901;2015;2
3.2.3;2400901;2015;99999999999996
3.3.1;2400901;2015;0
3.3.2;2400901;2015;1
3.3.3;2400901;2015;99999999999996
19.1.2.1.1.1;2400901;2010;40.8
19.1.2.1.1.2;2400901;2010;-
19.1.2.2.1.1;2400901;2010;3.6
19.1.2.2.1.2;2400901;2010;33.8
19.1.2.3.1.1;2400901;2010;55.6
19.1.2.3.1.2;2400901;2010;66.2
17.1.2.3.1;2400901;2010;1525
17.1.2.3.2;2400901;2010;3
16.1.2.2.1.2.1;2401008;0;0
16.1.2.2.1.2.2;2401008;0;0
16.1.2.2.2.2.1;2401008;0;0
16.1.2.2.2.2.2;2401008;0;0
16.1.2.2.3.2.1;2401008;0;0
16.1.2.2.3.2.2;2401008;0;0
2.4.3.1.3.2.4;2401008;2010;1513
2.4.3.1.3.2.5;2401008;2010;2054
3.2.1.1;2401008;2010;97.2
20.4.1.3;2401008;2010;26
1;2401008;2013;6.73
3.4.1;2401008;2015;None
3.4.2;2401008;2015;None
3.4.3;2401008;2015;None
3.2.1;2401008;2015;27
3.2.2;2401008;2015;8
3.2.3;2401008;2015;0
3.3.1;2401008;2015;0
3.3.2;2401008;2015;4
3.3.3;2401008;2015;1
19.1.2.1.1.1;2401008;2010;6.9
19.1.2.1.1.2;2401008;2010;0.2
19.1.2.2.1.1;2401008;2010;0.2
19.1.2.2.1.2;2401008;2010;55.4
19.1.2.3.1.1;2401008;2010;92.9
19.1.2.3.1.2;2401008;2010;44.4
17.1.2.3.1;2401008;2010;6864
17.1.2.3.2;2401008;2010;216
16.1.2.2.1.2.1;2401107;0;0
16.1.2.2.1.2.2;2401107;0;0
16.1.2.2.2.2.1;2401107;0;0
16.1.2.2.2.2.2;2401107;0;0
16.1.2.2.3.2.1;2401107;0;0
16.1.2.2.3.2.2;2401107;0;0
2.4.3.1.3.2.4;2401107;2010;1151
2.4.3.1.3.2.5;2401107;2010;1673
3.2.1.1;2401107;2010;99.3
20.4.1.3;2401107;2010;16
1;2401107;2013;22.79
3.4.1;2401107;2015;None
3.4.2;2401107;2015;None
3.4.3;2401107;2015;None
3.2.1;2401107;2015;18
3.2.2;2401107;2015;5
3.2.3;2401107;2015;99999999999996
3.3.1;2401107;2015;0
3.3.2;2401107;2015;3
3.3.3;2401107;2015;99999999999996
19.1.2.1.1.1;2401107;2010;34.7
19.1.2.1.1.2;2401107;2010;0.1
19.1.2.2.1.1;2401107;2010;0.2
19.1.2.2.1.2;2401107;2010;22.5
19.1.2.3.1.1;2401107;2010;65.1
19.1.2.3.1.2;2401107;2010;77.3
17.1.2.3.1;2401107;2010;5205
17.1.2.3.2;2401107;2010;90
16.1.2.2.1.2.1;2401206;0;0
16.1.2.2.1.2.2;2401206;0;0
16.1.2.2.2.2.1;2401206;0;0
16.1.2.2.2.2.2;2401206;0;0
16.1.2.2.3.2.1;2401206;0;0
16.1.2.2.3.2.2;2401206;0;0
2.4.3.1.3.2.4;2401206;2010;337
2.4.3.1.3.2.5;2401206;2010;790
3.2.1.1;2401206;2010;97.8
20.4.1.3;2401206;2010;8
1;2401206;2013;20
3.4.1;2401206;2015;None
3.4.2;2401206;2015;None
3.4.3;2401206;2015;None
3.2.1;2401206;2015;8
3.2.2;2401206;2015;2
3.2.3;2401206;2015;99999999999996
3.3.1;2401206;2015;0
3.3.2;2401206;2015;1
3.3.3;2401206;2015;99999999999996
19.1.2.1.1.1;2401206;2010;27.0
19.1.2.1.1.2;2401206;2010;6.2
19.1.2.2.1.1;2401206;2010;2.3
19.1.2.2.1.2;2401206;2010;18.2
19.1.2.3.1.1;2401206;2010;70.7
19.1.2.3.1.2;2401206;2010;75.6
17.1.2.3.1;2401206;2010;2852
17.1.2.3.2;2401206;2010;8
16.1.2.2.1.2.1;2401305;0;0
16.1.2.2.1.2.2;2401305;0;0
16.1.2.2.2.2.1;2401305;0;0
16.1.2.2.2.2.2;2401305;0;0
16.1.2.2.3.2.1;2401305;0;0
16.1.2.2.3.2.2;2401305;0;0
2.4.3.1.3.2.4;2401305;2010;255
2.4.3.1.3.2.5;2401305;2010;413
3.2.1.1;2401305;2010;98
20.4.1.3;2401305;2010;10
1;2401305;2013;-
3.4.1;2401305;2015;None
3.4.2;2401305;2015;None
3.4.3;2401305;2015;None
3.2.1;2401305;2015;10
3.2.2;2401305;2015;1
3.2.3;2401305;2015;99999999999996
3.3.1;2401305;2015;0
3.3.2;2401305;2015;1
3.3.3;2401305;2015;99999999999996
19.1.2.1.1.1;2401305;2010;27.1
19.1.2.1.1.2;2401305;2010;-
19.1.2.2.1.1;2401305;2010;2.3
19.1.2.2.1.2;2401305;2010;96.4
19.1.2.3.1.1;2401305;2010;70.6
19.1.2.3.1.2;2401305;2010;3.6
17.1.2.3.1;2401305;2010;1983
17.1.2.3.2;2401305;2010;4
16.1.2.2.1.2.1;2401404;0;0
16.1.2.2.1.2.2;2401404;0;0
16.1.2.2.2.2.1;2401404;0;0
16.1.2.2.2.2.2;2401404;0;0
16.1.2.2.3.2.1;2401404;0;0
16.1.2.2.3.2.2;2401404;0;0
2.4.3.1.3.2.4;2401404;2010;520
2.4.3.1.3.2.5;2401404;2010;659
3.2.1.1;2401404;2010;98.1
20.4.1.3;2401404;2010;8
1;2401404;2013;27.52
3.4.1;2401404;2015;None
3.4.2;2401404;2015;None
3.4.3;2401404;2015;None
3.2.1;2401404;2015;5
3.2.2;2401404;2015;1
3.2.3;2401404;2015;99999999999996
3.3.1;2401404;2015;0
3.3.2;2401404;2015;1
3.3.3;2401404;2015;99999999999996
19.1.2.1.1.1;2401404;2010;10.7
19.1.2.1.1.2;2401404;2010;3.9
19.1.2.2.1.1;2401404;2010;0.1
19.1.2.2.1.2;2401404;2010;34.4
19.1.2.3.1.1;2401404;2010;89.2
19.1.2.3.1.2;2401404;2010;61.7
17.1.2.3.1;2401404;2010;1570
17.1.2.3.2;2401404;2010;26
16.1.2.2.1.2.1;2401453;0;0
16.1.2.2.1.2.2;2401453;0;0
16.1.2.2.2.2.1;2401453;0;0
16.1.2.2.2.2.2;2401453;0;0
16.1.2.2.3.2.1;2401453;0;0
16.1.2.2.3.2.2;2401453;0;0
2.4.3.1.3.2.4;2401453;2010;1201
2.4.3.1.3.2.5;2401453;2010;1290
3.2.1.1;2401453;2010;96.9
20.4.1.3;2401453;2010;17
1;2401453;2013;15.87
3.4.1;2401453;2015;None
3.4.2;2401453;2015;None
3.4.3;2401453;2015;None
3.2.1;2401453;2015;24
3.2.2;2401453;2015;3
3.2.3;2401453;2015;99999999999996
3.3.1;2401453;2015;0
3.3.2;2401453;2015;1
3.3.3;2401453;2015;99999999999996
19.1.2.1.1.1;2401453;2010;3.6
19.1.2.1.1.2;2401453;2010;0.2
19.1.2.2.1.1;2401453;2010;1.1
19.1.2.2.1.2;2401453;2010;42.8
19.1.2.3.1.1;2401453;2010;95.3
19.1.2.3.1.2;2401453;2010;57.1
17.1.2.3.1;2401453;2010;4822
17.1.2.3.2;2401453;2010;118
16.1.2.2.1.2.1;2401503;0;0
16.1.2.2.1.2.2;2401503;0;0
16.1.2.2.2.2.1;2401503;0;0
16.1.2.2.2.2.2;2401503;0;0
16.1.2.2.3.2.1;2401503;0;0
16.1.2.2.3.2.2;2401503;0;0
2.4.3.1.3.2.4;2401503;2010;107
2.4.3.1.3.2.5;2401503;2010;375
3.2.1.1;2401503;2010;98.6
20.4.1.3;2401503;2010;5
1;2401503;2013;-
3.4.1;2401503;2015;None
3.4.2;2401503;2015;None
3.4.3;2401503;2015;None
3.2.1;2401503;2015;5
3.2.2;2401503;2015;1
3.2.3;2401503;2015;99999999999996
3.3.1;2401503;2015;0
3.3.2;2401503;2015;1
3.3.3;2401503;2015;99999999999996
19.1.2.1.1.1;2401503;2010;39.4
19.1.2.1.1.2;2401503;2010;6.8
19.1.2.2.1.1;2401503;2010;-
19.1.2.2.1.2;2401503;2010;36.7
19.1.2.3.1.1;2401503;2010;60.6
19.1.2.3.1.2;2401503;2010;56.4
17.1.2.3.1;2401503;2010;875
17.1.2.3.2;2401503;2010;8
16.1.2.2.1.2.1;2401602;0;0
16.1.2.2.1.2.2;2401602;0;0
16.1.2.2.2.2.1;2401602;0;0
16.1.2.2.2.2.2;2401602;0;0
16.1.2.2.3.2.1;2401602;0;0
16.1.2.2.3.2.2;2401602;0;0
2.4.3.1.3.2.4;2401602;2010;83
2.4.3.1.3.2.5;2401602;2010;255
3.2.1.1;2401602;2010;98.5
20.4.1.3;2401602;2010;6
1;2401602;2013;31.75
3.4.1;2401602;2015;None
3.4.2;2401602;2015;None
3.4.3;2401602;2015;None
3.2.1;2401602;2015;4
3.2.2;2401602;2015;1
3.2.3;2401602;2015;99999999999996
3.3.1;2401602;2015;0
3.3.2;2401602;2015;1
3.3.3;2401602;2015;99999999999996
19.1.2.1.1.1;2401602;2010;5.8
19.1.2.1.1.2;2401602;2010;4.2
19.1.2.2.1.1;2401602;2010;2.6
19.1.2.2.1.2;2401602;2010;22.1
19.1.2.3.1.1;2401602;2010;91.7
19.1.2.3.1.2;2401602;2010;73.7
17.1.2.3.1;2401602;2010;1120
17.1.2.3.2;2401602;2010;10
16.1.2.2.1.2.1;2401651;0;0
16.1.2.2.1.2.2;2401651;0;0
16.1.2.2.2.2.1;2401651;0;0
16.1.2.2.2.2.2;2401651;0;0
16.1.2.2.3.2.1;2401651;0;0
16.1.2.2.3.2.2;2401651;0;0
2.4.3.1.3.2.4;2401651;2010;16
2.4.3.1.3.2.5;2401651;2010;105
