indicador;municipio;ano;resultado
1.1.1.3;240860;2017;4276
1.1.1.3;240870;2010;None
1.1.1.3;240870;2015;None
1.1.1.3;240870;2016;3875
1.1.1.3;240870;2017;3859
1.1.1.3;240880;2010;None
1.1.1.3;240880;2015;None
1.1.1.3;240880;2016;5215
1.1.1.3;240880;2017;5258
1.1.1.3;240890;2010;None
1.1.1.3;240890;2015;None
1.1.1.3;240890;2016;21577
1.1.1.3;240890;2017;21669
1.1.1.3;240895;2010;None
1.1.1.3;240895;2015;None
1.1.1.3;240895;2016;10830
1.1.1.3;240895;2017;10901
1.1.1.3;240910;2010;None
1.1.1.3;240910;2015;None
1.1.1.3;240910;2016;12880
1.1.1.3;240910;2017;13099
1.1.1.3;240920;2010;None
1.1.1.3;240920;2015;None
1.1.1.3;240920;2016;3092
1.1.1.3;240920;2017;3109
1.1.1.3;240930;2010;None
1.1.1.3;240930;2015;None
1.1.1.3;240930;2016;12776
1.1.1.3;240930;2017;12844
1.1.1.3;240933;2010;None
1.1.1.3;240933;2015;None
1.1.1.3;240933;2016;5422
1.1.1.3;240933;2017;5500
1.1.1.3;240940;2010;None
1.1.1.3;240940;2015;None
1.1.1.3;240940;2016;30206
1.1.1.3;240940;2017;30452
1.1.1.3;240950;2010;None
1.1.1.3;240950;2015;None
1.1.1.3;240950;2016;3392
1.1.1.3;240950;2017;3356
1.1.1.3;240960;2010;None
1.1.1.3;240960;2015;None
1.1.1.3;240960;2016;2550
1.1.1.3;240960;2017;2532
1.1.1.3;240970;2010;None
1.1.1.3;240970;2015;None
1.1.1.3;240970;2016;6998
1.1.1.3;240970;2017;6938
1.1.1.3;240980;2010;None
1.1.1.3;240980;2015;None
1.1.1.3;240980;2016;14900
1.1.1.3;240980;2017;14954
1.1.1.3;240990;2010;None
1.1.1.3;240990;2015;None
1.1.1.3;240990;2016;14919
1.1.1.3;240990;2017;15083
1.1.1.3;241000;2010;None
1.1.1.3;241000;2015;None
1.1.1.3;241000;2016;3799
1.1.1.3;241000;2017;3836
1.1.1.3;241010;2010;None
1.1.1.3;241010;2015;None
1.1.1.3;241010;2016;15280
1.1.1.3;241010;2017;15418
1.1.1.3;241020;2010;None
1.1.1.3;241020;2015;None
1.1.1.3;241020;2016;7861
1.1.1.3;241020;2017;7909
1.1.1.3;241025;2010;None
1.1.1.3;241025;2015;None
1.1.1.3;241025;2016;6691
1.1.1.3;241025;2017;6789
1.1.1.3;241030;2010;None
1.1.1.3;241030;2015;None
1.1.1.3;241030;2016;9958
1.1.1.3;241030;2017;10099
1.1.1.3;241040;2010;None
1.1.1.3;241040;2015;None
1.1.1.3;241040;2016;9451
1.1.1.3;241040;2017;9568
1.1.1.3;241050;2010;None
1.1.1.3;241050;2015;None
1.1.1.3;241050;2016;5078
1.1.1.3;241050;2017;5115
1.1.1.3;241060;2010;None
1.1.1.3;241060;2015;None
1.1.1.3;241060;2016;3224
1.1.1.3;241060;2017;3234
1.1.1.3;241070;2010;None
1.1.1.3;241070;2015;None
1.1.1.3;241070;2016;3526
1.1.1.3;241070;2017;3566
1.1.1.3;241080;2010;None
1.1.1.3;241080;2015;None
1.1.1.3;241080;2016;4278
1.1.1.3;241080;2017;4277
1.1.1.3;241090;2010;None
1.1.1.3;241090;2015;None
1.1.1.3;241090;2016;7970
1.1.1.3;241090;2017;8075
1.1.1.3;241100;2010;None
1.1.1.3;241100;2015;None
1.1.1.3;241100;2016;4546
1.1.1.3;241100;2017;4545
1.1.1.3;241105;2010;None
1.1.1.3;241105;2015;None
1.1.1.3;241105;2016;4060
1.1.1.3;241105;2017;4100
1.1.1.3;241110;2010;None
1.1.1.3;241110;2015;None
1.1.1.3;241110;2016;3673
1.1.1.3;241110;2017;3669
1.1.1.3;241120;2010;None
1.1.1.3;241120;2015;None
1.1.1.3;241120;2016;39300
1.1.1.3;241120;2017;39667
1.1.1.3;241140;2010;None
1.1.1.3;241140;2015;None
1.1.1.3;241140;2016;13445
1.1.1.3;241140;2017;13289
1.1.1.3;241142;2010;None
1.1.1.3;241142;2015;None
1.1.1.3;241142;2016;2688
1.1.1.3;241142;2017;2701
1.1.1.3;241150;2010;None
1.1.1.3;241150;2015;None
1.1.1.3;241150;2016;24045
1.1.1.3;241150;2017;24220
1.1.1.3;241160;2010;None
1.1.1.3;241160;2015;None
1.1.1.3;241160;2016;2875
1.1.1.3;241160;2017;2846
1.1.1.3;241170;2010;None
1.1.1.3;241170;2015;None
1.1.1.3;241170;2016;4372
1.1.1.3;241170;2017;4425
1.1.1.3;241180;2010;None
1.1.1.3;241180;2015;None
1.1.1.3;241180;2016;3603
1.1.1.3;241180;2017;3617
1.1.1.3;241190;2010;None
1.1.1.3;241190;2015;None
1.1.1.3;241190;2016;4206
1.1.1.3;241190;2017;4238
1.1.1.3;241200;2010;None
1.1.1.3;241200;2015;None
1.1.1.3;241200;2016;99724
1.1.1.3;241200;2017;101492
1.1.1.3;241210;2010;None
1.1.1.3;241210;2015;None
1.1.1.3;241210;2016;6240
1.1.1.3;241210;2017;6260
1.1.1.3;241220;2010;None
1.1.1.3;241220;2015;None
1.1.1.3;241220;2016;43598
1.1.1.3;241220;2017;43995
1.1.1.3;241230;2010;None
1.1.1.3;241230;2015;None
1.1.1.3;241230;2016;12971
1.1.1.3;241230;2017;13007
1.1.1.3;241240;2010;None
1.1.1.3;241240;2015;None
1.1.1.3;241240;2016;4605
1.1.1.3;241240;2017;4643
1.1.1.3;241250;2010;None
1.1.1.3;241250;2015;None
1.1.1.3;241250;2016;23444
1.1.1.3;241250;2017;23610
1.1.1.3;241255;2010;None
1.1.1.3;241255;2015;None
1.1.1.3;241255;2016;9518
1.1.1.3;241255;2017;9606
1.1.1.3;241260;2010;None
1.1.1.3;241260;2015;None
1.1.1.3;241260;2016;17407
1.1.1.3;241260;2017;17572
1.1.1.3;241270;2010;None
1.1.1.3;241270;2015;None
1.1.1.3;241270;2016;6177
1.1.1.3;241270;2017;6139
1.1.1.3;241280;2010;None
1.1.1.3;241280;2015;None
1.1.1.3;241280;2016;8345
1.1.1.3;241280;2017;8343
1.1.1.3;241290;2010;None
1.1.1.3;241290;2015;None
1.1.1.3;241290;2016;11214
1.1.1.3;241290;2017;11223
1.1.1.3;241300;2010;None
1.1.1.3;241300;2015;None
1.1.1.3;241300;2016;6435
1.1.1.3;241300;2017;6469
1.1.1.3;241310;2010;None
1.1.1.3;241310;2015;None
1.1.1.3;241310;2016;6138
1.1.1.3;241310;2017;6188
1.1.1.3;241320;2010;None
1.1.1.3;241320;2015;None
1.1.1.3;241320;2016;4373
1.1.1.3;241320;2017;4423
1.1.1.3;241330;2010;None
1.1.1.3;241330;2015;None
1.1.1.3;241330;2016;5877
1.1.1.3;241330;2017;5870
1.1.1.3;241335;2010;None
1.1.1.3;241335;2015;None
1.1.1.3;241335;2016;11675
1.1.1.3;241335;2017;11838
1.1.1.3;241340;2010;None
1.1.1.3;241340;2015;None
1.1.1.3;241340;2016;8152
1.1.1.3;241340;2017;8175
1.1.1.3;241350;2010;None
1.1.1.3;241350;2015;None
1.1.1.3;241350;2016;6470
1.1.1.3;241350;2017;6422
1.1.1.3;241355;2010;None
1.1.1.3;241355;2015;None
1.1.1.3;241355;2016;4819
1.1.1.3;241355;2017;4841
1.1.1.3;241360;2010;None
1.1.1.3;241360;2015;None
1.1.1.3;241360;2016;3517
1.1.1.3;241360;2017;3150
1.1.1.3;241370;2010;None
1.1.1.3;241370;2015;None
1.1.1.3;241370;2016;5481
1.1.1.3;241370;2017;5528
1.1.1.3;241380;2010;None
1.1.1.3;241380;2015;None
1.1.1.3;241380;2016;2542
1.1.1.3;241380;2017;2566
1.1.1.3;241390;2010;None
1.1.1.3;241390;2015;None
1.1.1.3;241390;2016;12398
1.1.1.3;241390;2017;12428
1.1.1.3;241400;2010;None
1.1.1.3;241400;2015;None
1.1.1.3;241400;2016;15700
1.1.1.3;241400;2017;15866
1.1.1.3;241410;2010;None
1.1.1.3;241410;2015;None
1.1.1.3;241410;2016;10731
1.1.1.3;241410;2017;10814
1.1.1.3;241415;2010;None
1.1.1.3;241415;2015;None
1.1.1.3;241415;2016;5835
1.1.1.3;241415;2017;5912
1.1.1.3;241420;2010;None
1.1.1.3;241420;2015;None
1.1.1.3;241420;2016;13609
1.1.1.3;241420;2017;13895
1.1.1.3;241430;2010;None
1.1.1.3;241430;2015;None
1.1.1.3;241430;2016;2428
1.1.1.3;241430;2017;2437
1.1.1.3;241440;2010;None
1.1.1.3;241440;2015;None
1.1.1.3;241440;2016;33778
1.1.1.3;241440;2017;34043
1.1.1.3;241445;2010;None
1.1.1.3;241445;2015;None
1.1.1.3;241445;2016;3346
1.1.1.3;241445;2017;3327
